# IV Measurement - T = 34.00 C - Pull number 1
# Td_go[C]	Td_return[C]	Vcc	Vd_go[V]	Vd_return[V]	ErrVd_go[V]	ErrVd_return[V]	Vr_go[V]	Vr_return[V]	ErrVr_go[V]	ErrVr_return[V]	Id_go[A]	Id_return[A]	ErrId_go[A]	ErrId_return[A]
#  - T Go Leg
34.0586	33.9486	-1.0	-0.9303763200566229	-0.9297214937341843	0.00016122451437871726	0.0005441184938390263	-0.09320211101943598	-0.09375794405579563	0.0001504450989965059	0.0005465004609742951	-9.34731832508635e-06	-9.403063289118005e-06	2.807034838590105e-07	2.8724678177550356e-07
34.06167	33.95471	-0.9393939393939394	-0.8746333771879231	-0.8751518760327103	0.00015257780037561977	0.0005427973300894551	-0.0882833070282643	-0.08821780782193059	0.00014142075658593505	0.0005450473016528216	-8.854007324066221e-06	-8.847438353417972e-06	2.658833448734691e-07	2.708806004662363e-07
34.06474	33.95776	-0.8787878787878788	-0.8203550458736719	-0.8203623166725632	0.00014892163045880668	0.000606711504250527	-0.08263218618509165	-0.08170973983369767	0.00014567454733420553	0.0006122383756528799	-8.287251648289203e-06	-8.194738725674222e-06	2.4893858567706955e-07	2.532904288724414e-07
34.0678	33.95776	-0.8181818181818181	-0.7660558113686656	-0.7655032307859396	0.0001596338166381298	0.0005929003253690382	-0.07754053809684158	-0.07715891481796533	0.00014707507742876393	0.0005981609358291234	-7.776605966988425e-06	-7.7383326464713e-06	2.3366281970487464e-07	2.3967809106889406e-07
34.0678	33.95776	-0.7575757575757576	-0.7105250850801569	-0.7089986717303033	0.0001572952798253757	0.0005879988657039653	-0.07371065654901415	-0.07264765899753034	0.00014519439032565593	0.0005919313549601714	-7.3925039162585655e-06	-7.285894995239228e-06	2.2215648519114498e-07	2.26403534417006e-07
34.07086	33.95776	-0.696969696969697	-0.6520696799218697	-0.6520501395479794	0.00016023548148345662	0.0005310441698389871	-0.06756601782873324	-0.06803451867127447	0.00014842987610443886	0.0005355431349277064	-6.776252916330683e-06	-6.823239260984301e-06	2.0374378228153253e-07	2.1154029090096234e-07
34.07392	33.95776	-0.6363636363636364	-0.5972769397038433	-0.5970724484858719	0.00015019160945672032	0.0006039573535813044	-0.062271503450104876	-0.06294696188967397	0.00014948654092740757	0.0006107942061011873	-6.245261603661105e-06	-6.3130039002782034e-06	1.8787555143825248e-07	1.989720452631137e-07
34.07698	33.96082	-0.5757575757575757	-0.5430763151680762	-0.5442750882536987	0.00015407686451904238	0.0006173699222453319	-0.0582592258526582	-0.05718440507447364	0.00014157773674345437	0.0006204036474817006	-5.8428668992737135e-06	-5.735072216876306e-06	1.757842265513931e-07	1.8288699390086093e-07
34.08004	33.96388	-0.5151515151515151	-0.48641679736756094	-0.4867703399618781	0.00015550957421451452	0.0005125586460023903	-0.05263039291059394	-0.0532590028201724	0.0001437332086913976	0.0005186850094278471	-5.278346495897496e-06	-5.34139031392763e-06	1.589366332074454e-07	1.684075572020638e-07
34.08004	33.96694	-0.4545454545454546	-0.42995677206054994	-0.4299844919079609	0.0001531713019602154	0.0005130396005074313	-0.046582638346636264	-0.04870590238090098	0.00014534669832916012	0.0005134095017685031	-4.671812089723825e-06	-4.884756030578776e-06	1.4084978771102565e-07	1.5526539829257894e-07
34.08004	33.97	-0.3939393939393939	-0.3737075999745835	-0.37417702092641014	0.00015744631913778485	0.0005249532552804827	-0.04362380569568142	-0.0434696097988751	0.00014736682147165436	0.0005301870878180351	-4.37506826754402e-06	-4.359603830997402e-06	1.320248638477616e-07	1.411312322223911e-07
34.08004	33.97	-0.33333333333333326	-0.3194751656648539	-0.31917888055849736	0.0001554354190498929	0.0005721317816782448	-0.038464382969034275	-0.03769431212877827	0.00014888836517936577	0.000576848364246935	-3.85762541059415e-06	-3.7803943565117114e-06	1.1663822958617921e-07	1.2727132606888977e-07
34.08004	33.97	-0.2727272727272727	-0.2630455868772244	-0.2629051695501922	0.00015541400743405138	0.0005809063741129968	-0.03401135128105337	-0.0333163325621251	0.0001479248569533325	0.0005889983694528932	-3.41102710671481e-06	-3.34132309318274e-06	1.0335660524607439e-07	1.1631278642102392e-07
34.08311	33.97	-0.21212121212121215	-0.2065428456280036	-0.20688502758628124	0.0001553816381201147	0.0005761419651035628	-0.029817131007552622	-0.029950404338005082	0.0001447373049990156	0.000582374348348957	-2.9903852178871347e-06	-3.003751312607069e-06	9.083985221690716e-08	1.0735254651311861e-07
34.08311	33.97	-0.1515151515151515	-0.14982425257043114	-0.14885314650259432	0.00015668885694964627	0.0005096684510357041	-0.023442336232752436	-0.02566111914434396	0.00015155977878964606	0.0005180491074276947	-2.351051673127313e-06	-2.5735752827543838e-06	7.212085919638838e-08	9.303312953208758e-08
34.08617	33.97	-0.09090909090909083	-0.09683966914107084	-0.09569042855351949	0.00015424912961542708	0.0005182044891452705	-0.01983897277808593	-0.019668402090943754	0.00014761287686599947	0.0005262157992836219	-1.9896673130163402e-06	-1.972560634935689e-06	6.147330468787648e-08	7.927177275927698e-08
34.08924	33.97304	-0.030303030303030276	-0.03950942012061593	-0.04126622668422006	0.00015358814306001131	0.0005801773948308489	-0.01574391151210012	-0.013919942220327894	0.00014547340089690573	0.0005900542312335179	-1.578970164687606e-06	-1.3960427459961783e-06	4.9545333842769435e-08	7.248751069374282e-08
34.09538	33.97304	0.030303030303030276	0.014589413236871157	0.013971395317369323	0.00016056305427387054	0.0005796027700616487	-0.010798725977836057	-0.00925631189387461	0.00015103499002536174	0.0005852483002798902	-1.0830133364593379e-06	-9.28323327035865e-07	3.5835084646094415e-08	6.496183621506444e-08
34.09538	33.97608	0.09090909090909083	0.07025283161856684	0.06899362017361214	0.00015636728108695731	0.0005636635427913241	-0.002070509751844604	0.0019062890249054582	0.00014882929122505764	0.0005702101069131295	-2.0765316937564976e-07	1.911833341596087e-07	1.6173003107302838e-08	5.747350241758239e-08
34.09538	33.97913	0.1515151515151516	0.11564215678468358	0.11444883689603201	0.0001476230494948516	0.00044705555365780273	0.013371369709533565	0.015510553642527958	0.00014837028775675106	0.00045273154759594526	1.3410259461973287e-06	1.5555665071234537e-06	4.2878069425215444e-08	6.509619347656794e-08
34.09846	33.97913	0.21212121212121215	0.14501027689146564	0.14417777022164538	0.0001655383032811202	0.0003625148246778585	0.04214368932727375	0.04608364490541583	0.00015905991460768884	0.0003648531958546362	4.226626148558194e-06	4.6217676166298094e-06	1.2774362769913687e-07	1.4334186132173065e-07
34.09846	33.98217	0.2727272727272727	0.16501678857605714	0.16360807156748639	0.00017328736396856495	0.00033456533640973307	0.08248434036813247	0.0854595486103559	0.00016823277634031255	0.0003332707791683339	8.272424066606407e-06	8.570810210646465e-06	2.4863798977859945e-07	2.5917681448307793e-07
34.10153	33.98217	0.3333333333333335	0.1794461427674173	0.17697906983955705	0.00016482680587184113	0.0004184914642396222	0.12892005078512142	0.13226823982777425	0.00016152081249181524	0.00042427109796840237	1.2929500630340129e-05	1.3265293333444414e-05	3.880547028656708e-07	4.0005515588777655e-07
34.10461	33.98522	0.39393939393939403	0.18913448282359654	0.18723589547096486	0.00017567872487173514	0.00029744769387919667	0.18107647641163063	0.18275489235186448	0.00017118295463093832	0.00029722221485840075	1.816031254755096e-05	1.8328642297850212e-05	5.448431572300291e-07	5.504280468142088e-07
34.10461	33.98522	0.4545454545454546	0.19861514935041658	0.19447579343700785	0.00016114406153511145	0.0003252759503575492	0.23287902394108154	0.2360552770598527	0.00015597481101445237	0.00032738070945176155	2.3355633731930752e-05	2.3674182836210277e-05	7.005391776244006e-07	7.106756813288852e-07
34.10461	33.98828	0.5151515151515151	0.20327618660863653	0.20123491010284733	0.0001677670615116379	0.0002055337222316083	0.2863104078949403	0.28970408244464907	0.00016089909922833255	0.0002007064375768558	2.8714312295149962e-05	2.905466677812146e-05	8.612061898012694e-07	8.714936865845658e-07
34.10461	33.99133	0.5757575757575757	0.2087092924961486	0.20783634221129516	0.00017899237839024432	0.00024996899478287857	0.3428357168303188	0.3458018275043104	0.00016711693149874213	0.0002468288289397296	3.4383283204324425e-05	3.46807569455732e-05	1.0311864284405345e-06	1.0402651262662717e-06
34.10461	33.99133	0.6363636363636365	0.2139565334618645	0.21280456626116034	0.00016275665010519552	0.0002478919400204065	0.39710858288000406	0.3999746241542941	0.00016165378913740263	0.00024827648152033323	3.9826354716678774e-05	4.011379241342835e-05	1.1943814307201279e-06	1.203148462532854e-06
34.10461	33.99438	0.696969696969697	0.21809271141298192	0.215976454519443	0.00017419316523618954	0.0002475151086444514	0.45539736482684584	0.45715947436930204	0.00017013739414518757	0.00024782416381564806	4.567218582156713e-05	4.58489092738243e-05	1.3696763990387573e-06	1.3750941467019507e-06
34.10461	33.99438	0.7575757575757576	0.2208010841545156	0.2205129785839049	0.00017998620917439182	0.00022761201899070842	0.5119968157786566	0.5128560371540882	0.00017730158286899763	0.0002232231744463916	5.134859249610437e-05	5.143476453255323e-05	1.539890971410823e-06	1.5425348040141521e-06
34.10461	33.99438	0.8181818181818183	0.22463370534521887	0.22349855189083245	0.00016934975794693637	0.0001876650213071184	0.5706676771723443	0.5705835289629695	0.00016716349828683666	0.00018136431990520554	5.723274267098028e-05	5.7224303376087604e-05	1.716317972457299e-06	1.7160794203886497e-06
34.10768	33.99438	0.8787878787878789	0.22740660475418306	0.22679494879998435	0.00017367075159030812	0.0001996735300402744	0.6252889606384406	0.6262773620021959	0.00016860428728967804	0.0001996320968531425	6.271075725989777e-05	6.280988486633194e-05	1.880581130143462e-06	1.8835840522084559e-06
