# IV Measurement - T = 67.50 C - Pull number 2
# Td_go[C]	Td_return[C]	Vcc	Vd_go[V]	Vd_return[V]	ErrVd_go[V]	ErrVd_return[V]	Vr_go[V]	Vr_return[V]	ErrVr_go[V]	ErrVr_return[V]	Id_go[A]	Id_return[A]	ErrId_go[A]	ErrId_return[A]
#  - T Return Leg
67.40478	67.54107	-1.0	-0.8931021152696498	-0.8904937161784409	0.000504566803183642	0.00048368040529836253	-0.134799982428107	-0.13611587848587847	0.0005079379931200569	0.000489352516350101	-1.3519203934219938e-05	-1.3651176259741096e-05	4.08587914268607e-07	4.1228874929058896e-07
67.40478	67.54107	-0.9393939393939394	-0.8407200992992888	-0.8399239468239871	0.0005965560996083323	0.0006024855881842342	-0.12563601341249586	-0.12627917864805627	0.0006024600460852185	0.0006082189447072866	-1.2600141752331347e-05	-1.266464533628084e-05	3.826405242071545e-07	3.846418158687543e-07
67.40478	67.54107	-0.8787878787878788	-0.7874251432709243	-0.785562001438487	0.0005034869085012484	0.0005212271357089193	-0.11907518063816436	-0.11988391627422293	0.0005069869689339192	0.0005208566468480471	-1.1942150299685524e-05	-1.2023259078750669e-05	3.617004983290307e-07	3.6430556388672635e-07
67.40478	67.54107	-0.8181818181818181	-0.7339543257556106	-0.732589233272807	0.0005030434547591304	0.0004971092836745125	-0.11324394028311316	-0.11325758913063855	0.0005103406707462245	0.0005000422011118487	-1.1357330286141125e-05	-1.1358699140571512e-05	3.443963152490538e-07	3.442849444280482e-07
67.40478	67.54107	-0.7575757575757576	-0.6786530838565776	-0.6778796526279462	0.0005004600943160993	0.000544380685470327	-0.10455575132050754	-0.10434333395473763	0.0005051782578191113	0.0005498415839990076	-1.0485984487063237e-05	-1.0464680970287597e-05	3.184983587379647e-07	3.186123269865043e-07
67.40478	67.54107	-0.696969696969697	-0.6243824776936643	-0.6235726924686599	0.0005080720292204027	0.0005005867178457104	-0.09720938438490345	-0.09705336986428244	0.0005103243114843868	0.0005051132074324949	-9.749211150827745e-06	-9.733564322964841e-06	2.9679546833238116e-07	2.962434900784037e-07
67.40478	67.54107	-0.6363636363636364	-0.5733232928556098	-0.5718918543298104	0.0004988404885552735	0.0004885188708858363	-0.09052983378051271	-0.09215275690955982	0.0005064485334822296	0.0004905589177468123	-9.079313386873203e-06	-9.242077716333349e-06	2.769583172940893e-07	2.814748581761181e-07
67.40478	67.54107	-0.5757575757575757	-0.5206222705849658	-0.5187595830250891	0.0005800777151568098	0.0005953045702246665	-0.08296195619604897	-0.08366789337469427	0.000582877956632523	0.000601299128652324	-8.320324560831309e-06	-8.391123595897529e-06	2.562579486288356e-07	2.5874980171306895e-07
67.40478	67.54107	-0.5151515151515151	-0.46634121283679664	-0.46247632881713835	0.0006129826931273684	0.00048088770652662783	-0.07598083880667644	-0.07884005847025898	0.0006208785483781488	0.0004837735215501211	-7.620182409655645e-06	-7.906935961313707e-06	2.368383530720762e-07	2.420181351898052e-07
67.40478	67.54107	-0.4545454545454546	-0.41170161369201363	-0.40939677058078294	0.0005398179275214768	0.0005317661552185525	-0.07092466738498787	-0.07077411031766107	0.0005398245417293141	0.000536109015302055	-7.113094713166972e-06	-7.097995217898011e-06	2.2006366030067572e-07	2.1953325643004102e-07
67.40478	67.54107	-0.3939393939393939	-0.3573919273010991	-0.3565326097606907	0.0005237017622992761	0.0006079271174362959	-0.06329265332280258	-0.06350234161649884	0.0005286988282174539	0.0006112693022853885	-6.347673585678726e-06	-6.368703401514276e-06	1.975946823598442e-07	2.0057639552671054e-07
67.40478	67.54107	-0.33333333333333326	-0.3061318863783632	-0.3048295046329544	0.0006132394682053478	0.0006074390491834957	-0.05532586344826207	-0.055752972486571406	0.0006155414249094583	0.0006123607984929533	-5.5486775096040585e-06	-5.591512635299509e-06	1.7747096916938802e-07	1.7856584639066005e-07
67.40478	67.52969	-0.2727272727272727	-0.2502462543636964	-0.24830086124822354	0.0005065459834418006	0.00048692419899519447	-0.05044072058955834	-0.05048711526976461	0.0005120082479297826	0.000492667337763097	-5.0587424119504906e-06	-5.063395373559784e-06	1.601517044033596e-07	1.5967302331004654e-07
67.40478	67.52969	-0.21212121212121215	-0.1972698505462665	-0.19642689231176233	0.0005155442364676551	0.0005867917815620663	-0.043110273725931146	-0.04252760497019201	0.0005197566965843657	0.0005908640075641999	-4.323565713161283e-06	-4.265129372198576e-06	1.3973720218100133e-07	1.4095924392578644e-07
67.40478	67.52969	-0.1515151515151515	-0.14191771322498653	-0.14232351463078194	0.0004758701161719175	0.0005903847718735098	-0.03608458123026516	-0.03339775079982893	0.00048305405639260046	0.0005976944796795533	-3.618953086978754e-06	-3.3494885969139435e-06	1.188440213086255e-07	1.1696832600514355e-07
67.40478	67.52969	-0.09090909090909083	-0.09244038134155905	-0.08928758118061718	0.0004743882530210656	0.0004827695106515684	-0.026868305130054233	-0.028984290871983967	0.0004811189127558175	0.0004916114030331818	-2.69464498345745e-06	-2.906858978235279e-06	9.411460995347134e-08	1.0014556445271949e-07
67.40478	67.54107	-0.030303030303030276	-0.039733906012180256	-0.036973274613920956	0.0005628432548242114	0.00044819202102670233	-0.018981570607690568	-0.0205867546042508	0.0005663348240746057	0.0004514668216622462	-1.9036777261749642e-06	-2.0646629830760004e-06	8.052819930201134e-08	7.670275211401189e-08
